,seed,dataset,num_clients,split,split_args,model,model_params,glob_c_idx,glob_c_idx_ipcw,glob_ibs,iso_c_idx,iso_c_idx_ipcw,iso_ibs,fed_c_idx,fed_c_idx_ipcw,fed_ibs
276,5306,flchain,10,uniform,{'min_samples': 25},cox_ph,{'epochs': 500},0.9329186795791736,0.9401181938266542,0.0424997201436423,0.919387800816863,0.9261228153130244,0.0587372849381161,0.9289986335839674,0.9361249477131508,0.0534321503945317
280,5306,flchain,10,uniform,{'min_samples': 25},deephit,{'epochs': 500},0.9322084045786138,0.9393821930360996,0.0446029138938122,0.92121024886692,0.929631971356788,0.06077117769861,0.9319984021145848,0.9391949927493024,0.0444955371083262
277,5306,flchain,10,uniform,{'min_samples': 25},deepsurv,{'epochs': 500},0.9314402622324102,0.9387254895752714,0.0469009641410084,0.9277136051729672,0.9352789458338288,0.0662020054168524,0.9368667259029172,0.9435012820909096,0.041454904087694
279,5306,flchain,10,uniform,{'min_samples': 25},nmtlr,{'epochs': 500},0.9295511734004346,0.9367685822715328,0.0485556529766636,0.9292633300230724,0.9367030494399676,0.0465345536100574,0.934036826032092,0.9412898791032596,0.0425777846200213
278,5306,flchain,10,uniform,{'min_samples': 25},nnet-survival,{'epochs': 500},0.9282426247134632,0.9360888200697206,0.0470934761304472,0.89325117414711,0.9021670996116732,0.0697524525638009,0.9349757703823725,0.941750767460965,0.0451221551215812
281,5306,flchain,10,uniform,{'min_samples': 25},pc-hazard,{'epochs': 500},0.9272196793775712,0.9349367116229634,0.0461902970438284,0.8767800742195376,0.8852708947382869,0.0742432213793887,0.9342346950204216,0.9412434664461437,0.0452939612397734
396,5306,flchain,10,uniform,{'min_samples': 25},rsf,"{'params': {'bootstrap': True, 'max_depth': None, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'max_samples': None, 'min_samples_leaf': 3, 'min_samples_split': 20, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 200, 'n_jobs': -1, 'oob_score': False, 'random_state': None, 'verbose': 0, 'warm_start': False}, 'num_fed_trees': 150}",0.9314570624295324,0.9387005275933484,0.0410996395540595,0.9264538703920792,0.934172069147345,0.0453329947927081,0.9270666109149014,0.934700601847384,0.0442951770545005
397,5306,flchain,10,uniform,{'min_samples': 25},rsf_ibs,"{'params': {'bootstrap': True, 'max_depth': None, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'max_samples': None, 'min_samples_leaf': 3, 'min_samples_split': 20, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 200, 'n_jobs': -1, 'oob_score': False, 'random_state': None, 'verbose': 0, 'warm_start': False}, 'num_fed_trees': 300}",0.9314570624295324,0.9387005275933484,0.0410996395540595,0.9264538703920792,0.934172069147345,0.0453329947927081,0.9270180770121036,0.9347013857778412,0.0428465919023228
258,5306,metabric,10,label_skew,"{'min_samples': 25, 'alpha': 8.0}",cox_ph,{'epochs': 500},0.6429225380144893,0.6384813027591093,0.1539374056329192,0.5740187883130323,0.568926089746362,0.1719435330382617,0.6294084865854629,0.6269265298327797,0.1569342794249313
262,5306,metabric,10,label_skew,"{'min_samples': 25, 'alpha': 8.0}",deephit,{'epochs': 500},0.6059629010429106,0.6082941856108522,0.1658317187390532,0.5789357933285567,0.5763554982320874,0.1761008064228458,0.6032760130562853,0.6112213483837265,0.1687653969438181
